timestamps,open,high,low,close,volume,amount
2025/4/2 15:00,5.879,5.938,5.869,5.893,1784232.93,1053759.698
2025/4/3 15:00,5.845,5.907,5.816,5.842,2664771.5,1559214.35
2025/4/7 15:00,5.62,5.662,5.258,5.28,4617801.29,2499811.986
2025/4/8 15:00,5.312,5.371,5.25,5.313,30285653.73,16017733.23
2025/4/9 15:00,5.255,5.457,5.139,5.428,3538249.55,1884304.821
2025/4/10 15:00,5.503,5.609,5.501,5.535,2669817.67,1483750.239
2025/4/11 15:00,5.51,5.628,5.509,5.573,2220743.04,1236321.251
2025/4/14 15:00,5.615,5.652,5.6,5.617,2150626.82,1209079.466
2025/4/15 15:00,5.615,5.619,5.562,5.594,3207385.12,1793626.903
2025/4/16 15:00,5.558,5.581,5.49,5.545,6661825.01,3691591.486
2025/4/17 15:00,5.524,5.603,5.52,5.548,2247617.13,1253290.436
2025/4/18 15:00,5.54,5.576,5.519,5.55,2950683.66,1636662.118
2025/4/21 15:00,5.544,5.641,5.522,5.632,2567589.26,1439589.215
2025/4/22 15:00,5.619,5.645,5.607,5.617,1434073.62,806534.644
2025/4/23 15:00,5.639,5.683,5.608,5.628,2331670.56,1314640.511
2025/4/24 15:00,5.628,5.644,5.577,5.605,1605891.73,901148.308
2025/4/25 15:00,5.61,5.662,5.592,5.621,2041463.05,1148698.743
2025/4/28 15:00,5.62,5.625,5.576,5.595,2026016.61,1134081.377
2025/4/29 15:00,5.57,5.622,5.564,5.598,1247373.96,698290.015
2025/4/30 15:00,5.598,5.642,5.597,5.626,2073911.83,1167228.382
2025/5/6 15:00,5.655,5.735,5.653,5.733,1856918.57,1060283.652
2025/5/7 15:00,5.798,5.845,5.708,5.743,2232101.03,1284514.4
2025/5/8 15:00,5.729,5.785,5.724,5.767,2288960.37,1319178.643
2025/5/9 15:00,5.76,5.761,5.7,5.72,1686335.54,965835.125
2025/5/12 15:00,5.745,5.797,5.737,5.792,1705952.69,984666.611
2025/5/13 15:00,5.825,5.826,5.764,5.778,1977885.78,1144635.055
2025/5/14 15:00,5.775,5.839,5.746,5.798,2413135,1396705.066
2025/5/15 15:00,5.781,5.787,5.71,5.721,1923032.9,1103318.487
2025/5/16 15:00,5.706,5.735,5.703,5.711,1753815.74,1002830.482
2025/5/19 15:00,5.71,5.73,5.665,5.725,1410520.31,803451.383
2025/5/20 15:00,5.728,5.764,5.702,5.749,1167503.08,669425.913
2025/5/21 15:00,5.739,5.764,5.731,5.756,828510.94,476263.694
2025/5/22 15:00,5.733,5.765,5.704,5.711,1393033.25,797381.638
2025/5/23 15:00,5.707,5.747,5.66,5.662,1908861.25,1088161.888
2025/5/26 15:00,5.657,5.704,5.645,5.671,1681779.06,954266.761
2025/5/27 15:00,5.672,5.678,5.633,5.657,2079550.03,1175296.18
2025/5/28 15:00,5.657,5.67,5.634,5.647,1296503.53,732201.615
2025/5/29 15:00,5.65,5.739,5.649,5.727,3204955.76,1830963.971
2025/5/30 15:00,5.71,5.711,5.671,5.694,3345407.16,1903678.351
2025/6/3 15:00,5.68,5.73,5.666,5.703,1375062.82,784046.928
2025/6/4 15:00,5.704,5.763,5.704,5.749,1095252.76,629142.475
2025/6/5 15:00,5.756,5.799,5.733,5.784,1685858.19,972358.271
2025/6/6 15:00,5.783,5.794,5.77,5.785,1010746.78,584109.624
2025/6/9 15:00,5.795,5.852,5.789,5.825,1958622.39,1141617.121
2025/6/10 15:00,5.825,5.829,5.742,5.777,1825379.29,1055334.689
2025/6/11 15:00,5.777,5.848,5.777,5.814,2303795.88,1341105.615
2025/6/12 15:00,5.809,5.835,5.786,5.825,922336.83,536522.932
2025/6/13 15:00,5.814,5.822,5.754,5.776,1596902.75,923057.935
2025/6/16 15:00,5.755,5.812,5.755,5.797,1802020.95,1044674.832
2025/6/17 15:00,5.802,5.808,5.769,5.785,2235066.84,1292161.009
2025/6/18 15:00,5.786,5.79,5.74,5.776,1501328.37,865530.177
2025/6/19 15:00,5.763,5.785,5.695,5.718,2202723.97,1264678.283
2025/6/20 15:00,5.713,5.729,5.678,5.679,3236439.66,1842188.941
2025/6/23 15:00,5.668,5.726,5.661,5.712,1917814.35,1093216.921
2025/6/24 15:00,5.723,5.808,5.723,5.804,3842873.85,2225227.275
2025/6/25 15:00,5.812,5.919,5.808,5.913,3724600.96,2183573.155
2025/6/26 15:00,5.905,5.926,5.885,5.888,2343963.01,1384474.054
2025/6/27 15:00,5.894,5.958,5.885,5.91,2229407.18,1320386.698
2025/6/30 15:00,5.917,5.968,5.916,5.963,2444973.55,1454432.701
2025/7/1 15:00,5.95,5.984,5.934,5.982,1382361.16,823912.323
2025/7/2 15:00,5.961,5.966,5.929,5.947,1297454.89,771494.842
2025/7/3 15:00,5.947,5.978,5.935,5.971,1197558.09,713616.283
2025/7/4 15:00,5.958,6.025,5.94,5.963,1626177.61,971146.047
2025/7/7 15:00,5.957,5.966,5.941,5.951,787038.1,468406.804
2025/7/8 15:00,5.951,6.039,5.948,6.031,1674850.29,1006809.209
2025/7/9 15:00,6.032,6.044,6,6.005,1531959.81,923228.818
2025/7/10 15:00,6.005,6.061,5.997,6.038,1303242.99,785483.34
2025/7/11 15:00,6.035,6.125,6.017,6.09,2491184.84,1516911.95
2025/7/14 15:00,6.088,6.099,6.07,6.079,1168520,711140.34
2025/7/15 15:00,6.066,6.111,6.029,6.077,1582649.21,959703.847
2025/7/16 15:00,6.074,6.128,6.055,6.076,1641378.54,999719.287
2025/7/17 15:00,6.075,6.148,6.069,6.146,1181067.88,722766.909
